,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
31,Dusk Till Dawn (Radio Edit),ZAYN,top100,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,0.101,0.258,239000,0.437,1.27e-06,11,0.106,-6.593,0,0.039,180.043,4,0.0967
32,"Capital Letters [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",Hailee Steinfeld,top100,2bllegdYt2WoYdbRZyJ730,Capital Letters,0.0388,0.669,219386,0.814,3.71e-06,0,0.0834,-5.508,1,0.0715,100.065,4,0.457
33,Us,Jennifer Lopez,top100,2MMvonKGALz6YOJwaKDO3q,Us,0.0115,0.513,193548,0.783,0.0051,8,0.649,-6.733,1,0.126,123.0,4,0.387
34,Friends (with BloodPop®),Justin Bieber,top100,7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),0.00398,0.744,189467,0.752,0.0,8,0.307,-5.316,1,0.0368,104.99,4,0.65
35,Boom Boom,RedOne,top100,4NzenFNqsYRvrG7rLdF1Ej,Boom Boom,0.00453,0.749,248364,0.759,0.0,7,0.202,-8.065,0,0.0451,110.004,4,0.584
36,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,top100,0as7lPxkBPctZ7uVmchRNM,Miss You (with Major Lazer & Tory Lanez),0.231,0.753,186231,0.646,0.0012,1,0.0961,-4.564,1,0.0973,100.0,4,0.438
37,LemonGrass (Deluxe Edition),LemonGrass,top100,3KAzXp6bTKmBvJFMLDXr2U,Sing Me to Sleep - Alan Walker Cover,0.01,0.435,184933,0.77,0.0,4,0.586,-5.232,0,0.0824,176.094,4,0.237
38,Silence,Marshmello,top100,7vGuf3Y35N4wmASOKLUVVU,Silence,0.256,0.52,180823,0.761,4.96e-06,4,0.17,-3.093,1,0.0853,141.971,4,0.286
39,Witness,Katy Perry,top100,1cDufRobeTRBJ7lYmEVFTi,Hey Hey Hey,0.0599,0.653,214955,0.711,0.0,9,0.0508,-5.612,1,0.102,134.09,4,0.476
40,Wolves,Selena Gomez,top100,0tBbt8CrmxbjRP0pueQkyU,Wolves,0.129,0.72,197993,0.807,0.0,11,0.183,-4.59,0,0.0432,124.946,4,0.305
41,This Town,Niall Horan,top100,5dTJMpqiELczVuHJP3OAEu,This Town,0.711,0.69,232600,0.407,0.0,9,0.126,-7.739,1,0.0297,111.916,4,0.181
42,Sign of the Times,Harry Styles,top100,5ELRkzdzz0HvGpMDlfZHkV,Sign of the Times,0.0259,0.518,340707,0.575,0.0,5,0.109,-4.616,1,0.0302,120.019,4,0.209
43,hopeless fountain kingdom (Deluxe),Halsey,top100,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,0.06,0.675,181279,0.736,0.0,0,0.0879,-3.604,1,0.0302,118.369,4,0.607
44,Supernova,Ansel Elgort,top100,2ZIZXWnU52s0C75sPYiwvh,Supernova,0.0596,0.764,191493,0.618,0.0,5,0.194,-5.492,0,0.0873,140.09,4,0.655
45,Illuminate (Deluxe),Shawn Mendes,top100,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,0.381,0.857,199440,0.8,0.0,2,0.0913,-4.035,1,0.0583,121.996,4,0.966
46,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,top100,5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.194,0.653,210773,0.809,0.0,0,0.165,-4.057,1,0.0474,92.213,4,0.55
47,LemonGrass (Deluxe Edition),LemonGrass,top100,0to0HUgfeGimkdPHqZiB3L,Brush 'Em Off,0.161,0.733,195547,0.786,0.00255,11,0.143,-5.156,0,0.16,160.007,4,0.801
48,I'm Alive,Beth Ditto,top100,3HpBz6xWcicI6MvyFlDG60,I'm Alive,0.0625,0.614,184394,0.599,0.901,6,0.153,-5.121,0,0.0267,97.081,4,0.532
49,Sick Boy,The Chainsmokers,top100,7jqDzXJS0K0Re8uphYNit0,Sick Boy,0.104,0.548,193893,0.58,0.0,11,0.127,-7.524,0,0.121,180.066,4,0.462
50,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,top100,7Ed6BkggCS2KaKY5YlINaF,MIC Drop (feat. Desiigner) [Steve Aoki Remix],0.0157,0.613,238726,0.842,0.0,10,0.23,-4.332,0,0.219,169.917,4,0.645
51,Dancing,Kylie Minogue,top100,5rd1IgSMbApoXsVY9aorCV,Dancing,0.0084,0.497,178880,0.706,0.000165,6,0.325,-4.554,1,0.0371,110.038,4,0.528
52,Dua Lipa,Dua Lipa,top100,1ny60YCHhEsxsJXWLhK7b0,IDGAF,0.0433,0.836,218173,0.552,0.0,7,0.0773,-5.66,1,0.0851,97.036,4,0.525
53,The Beautiful & Damned,G-Eazy,top100,2DQ1ITjI0YoLFzuADN1ZBW,No Limit,0.0117,0.838,245387,0.771,0.0,1,0.0853,-3.791,1,0.244,175.957,4,0.405
54,M A N I A,Fall Out Boy,top100,5X5wqj4OQocNJeb6mbViLT,Church,0.00157,0.367,211840,0.892,0.0,6,0.237,-3.376,0,0.0495,168.002,4,0.369
55,LemonGrass (Deluxe Edition),LemonGrass,top100,2Sfc4S0Wvo4bqFaxJ0hGjT,Vertigo - English,0.00653,0.742,185893,0.863,0.00142,2,0.108,-3.601,1,0.133,134.0,4,0.836
56,MotorSport,Migos,top100,1YZfcVLbbJwfizR5cDOp3q,MotorSport,0.0519,0.901,307660,0.529,0.0,2,0.179,-4.443,1,0.191,138.003,4,0.146
57,Sorry Not Sorry,Demi Lovato,top100,743mWMRgafToEUJriLLgkg,Sorry Not Sorry,0.0264,0.695,203760,0.632,0.0,11,0.252,-6.922,0,0.261,143.794,4,0.86
58,Evolve,Imagine Dragons,top100,5VnDkUNyX6u5Sk0yZiP8XB,Thunder,0.00782,0.604,187147,0.826,0.15,0,0.154,-4.804,1,0.0434,167.985,4,0.241
59,The Champion,Carrie Underwood,top100,0stPNUkU1LZnvxIcfrKnEZ,The Champion,0.0822,0.666,223999,0.877,0.0,6,0.128,-3.275,1,0.194,91.054,4,0.524
60,rockstar,Post Malone,top100,1OmcAT5Y8eg5bUPv9qJT4R,rockstar,0.128,0.58,218320,0.531,0.000127,5,0.143,-6.631,0,0.0776,159.786,4,0.141
61,Let You Down,NF,top100,2amzBJRBPOGszBem4FedfE,Let You Down,0.316,0.661,212120,0.715,0.0,5,0.178,-5.651,0,0.119,148.027,4,0.411
62,Camila,Camila Cabello,top100,0sVgOxAOOAj0K8PdFEGhrR,Never Be the Same - Radio Edit,0.158,0.627,227240,0.693,0.000102,0,0.115,-4.382,1,0.0856,129.801,4,0.245
63,...Ready For It? (BloodPop® Remix),Taylor Swift,top100,1Ygm9KdH3wbzDekO8JgxcW,...Ready For It? - BloodPop® Remix,0.111,0.581,189509,0.839,0.0,7,0.104,-4.843,1,0.229,160.12,4,0.447
64,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,top100,5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.032,0.667,174800,0.726,0.0,8,0.0745,-4.172,1,0.054,103.001,4,0.77
65,Attention,Charlie Puth,top100,4iLqG9SeJSnt0cSPICSjxv,Attention,0.0969,0.774,211475,0.626,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,0.777
66,All Your Fault: Pt. 2,Bebe Rexha,top100,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
67,2U,David Guetta,top100,762UXiwEHYY97VL45sAUPR,2U,0.23,0.542,194907,0.654,0.0,8,0.241,-5.862,0,0.0537,144.971,4,0.563
68,Believer,Imagine Dragons,top100,05KfyCEE6otdlT1pp2VIjP,Believer,0.0417,0.772,203782,0.775,0.0,10,0.226,-4.388,0,0.112,124.978,4,0.748
69,Revival,Eminem,top100,5UEnHoDYpsxlfzWLZIc7LD,River (feat. Ed Sheeran),0.17,0.757,221013,0.748,0.0,8,0.0759,-5.794,0,0.473,90.052,4,0.693
70,Tequila,Dan + Shay,top100,7Il2yWQmsqKgSkLQvHTPUI,Tequila,0.0292,0.474,195987,0.594,0.0,11,0.133,-5.756,1,0.0289,86.131,4,0.503
71,Tell Me You Love Me (NOTD Remix),Demi Lovato,top100,0BrhmLM6npAnM6Nce5oZGQ,Tell Me You Love Me - NOTD Remix,0.0548,0.586,180773,0.786,0.0,6,0.0826,-3.907,1,0.0591,102.486,4,0.76
72,Red Pill Blues (Deluxe),Maroon 5,top100,7eFmN6wnsb7WowRKAqRFfs,Wait,0.0835,0.648,190643,0.608,0.0,8,0.105,-5.16,1,0.0587,126.12,4,0.488
73,The Thrill Of It All (Special Edition),Sam Smith,top100,59ljpSFcgtfWJKS3vqG27R,Pray,0.285,0.382,221596,0.379,3.24e-06,7,0.0858,-9.423,1,0.0515,175.515,3,0.148
74,Revival,Eminem,top100,7CcoUAtUcYhUfBsmtn0ajO,Walk On Water (feat. Beyoncé),0.802,0.56,303640,0.439,0.0,9,0.664,-10.211,0,0.211,90.761,4,0.626
75,Look What You Made Me Do,Taylor Swift,top100,2VjtYe7gpfUi2OkGxR2O2z,Look What You Made Me Do,0.21,0.767,211859,0.671,1.12e-05,9,0.129,-6.416,0,0.142,128.072,4,0.474
76,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,top100,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),0.207,0.683,190428,0.53,0.0,5,0.394,-4.918,0,0.142,75.016,4,0.645
77,Harry Styles,Harry Styles,top100,33SNO8AaciGbNaQFkxvPrW,Kiwi,0.00064,0.375,176387,0.93,0.0,2,0.318,-2.631,1,0.0561,147.124,4,0.491
78,Revival,Eminem,top100,6B2ERbVUDfIiUNXCWhjzFG,Need Me (feat. Pink),0.00509,0.697,265467,0.672,0.0,10,0.3,-7.141,1,0.0645,104.986,3,0.563
79,Hola (feat. Maluma),Flo Rida,top100,6ayTAnEwP3Yo4DOjLsN5r2,Hola (feat. Maluma),0.0207,0.757,192377,0.711,3.04e-05,8,0.11,-5.693,1,0.0769,113.026,4,0.649
80,Mi Gente (feat. Beyoncé),J Balvin,top100,7fwXWKdDNI5IutOMc5OKYw,Mi Gente (feat. Beyoncé),0.0249,0.705,209733,0.714,0.0,11,0.253,-6.39,0,0.0792,104.996,4,0.434
81,Still Got Time,ZAYN,top100,000xQL6tZNLJzIrtIgxqSl,Still Got Time,0.131,0.748,188491,0.627,0.0,7,0.0852,-6.029,1,0.0644,120.963,4,0.524
82,Revival,Eminem,top100,2Ie7pnF3ZKNTde30TQWlWx,Like Home (feat. Alicia Keys),0.262,0.778,245467,0.787,0.0,8,0.23,-4.569,1,0.233,109.893,4,0.259
83,Don't Be A Fool,Shawn Mendes,top100,5532g399TI8rHJUk84XWRD,Don't Be A Fool - MTV Unplugged,0.752,0.307,337840,0.353,0.0,11,0.163,-9.965,0,0.0462,174.927,3,0.199
84,What Lovers Do (feat. SZA),Maroon 5,top100,6YVpU5vVxezJCYeQUxIkRT,What Lovers Do (feat. SZA),0.0793,0.795,199849,0.611,3.04e-06,5,0.0853,-5.224,0,0.0711,110.016,4,0.404
85,Bad Liar,Selena Gomez,top100,2fZQIJew3nkNe99s2PKzul,Bad Liar,0.177,0.95,214648,0.412,0.0,1,0.077,-6.592,1,0.0731,121.019,4,0.73
86,Fetish (feat. Gucci Mane),Selena Gomez,top100,4lnAN2S1fcI0SjxEbksZVr,Fetish (feat. Gucci Mane),0.0198,0.707,186113,0.611,3.59e-06,2,0.0651,-4.474,1,0.0639,123.006,4,0.285
87,Harry Styles,Harry Styles,top100,4B1rpPmQXwj78wk6aIGwwU,Two Ghosts,0.234,0.386,229813,0.407,1.86e-06,6,0.0999,-7.095,0,0.0268,69.387,4,0.456
88,Revival,Eminem,top100,3xpTHrC1b6dmiLEeM5jO0z,Tragic Endings (feat. Skylar Grey),0.406,0.674,252027,0.767,0.0,4,0.697,-5.037,0,0.237,81.05,4,0.571
89,Gorgeous,Taylor Swift,top100,0CLnkxpa3M4eA3HeGaERat,Gorgeous,0.079,0.794,209680,0.537,4.98e-06,7,0.227,-6.865,1,0.169,92.022,4,0.418
90,First Time,Kygo,top100,2Gl0FzuLxflY6nPifJp5Dr,First Time,0.197,0.633,193511,0.592,0.0,0,0.099,-7.245,0,0.112,90.066,4,0.679
91,Kissing Strangers,DNCE,top100,1NkwZ9TnIs8js6G0M6M7RU,Kissing Strangers,0.0476,0.774,202480,0.734,0.0,7,0.0659,-5.814,1,0.0406,120.075,4,0.839
92,Him & I,G-Eazy,top100,3YU6vJbjYUG0tiJyXf9x5V,Him & I,0.0534,0.589,268867,0.731,0.0,2,0.308,-6.343,1,0.0868,87.908,4,0.191
93,Revival,Eminem,top100,3GOjD8hwXOxbTF3apTqSqX,Bad Husband (feat. X Ambassadors),0.0812,0.515,287893,0.72,0.0,8,0.119,-5.165,1,0.321,95.463,4,0.489
94,Guilty,Paloma Faith,top100,3oHmuf8q94s5eMVb2lGaMp,Guilty,0.00152,0.252,259427,0.726,0.0,4,0.294,-4.284,0,0.0446,186.921,3,0.365
95,Expectations,Hayley Kiyoko,top100,5nFyaoBWwwMJ9fv33tZ2MB,What I Need (feat. Kehlani),0.0537,0.633,219520,0.793,0.0,10,0.16,-4.126,1,0.055,103.97,4,0.414
