,album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
22,"Lola Versus Powerman and the Moneygoround, Pt. One",The Kinks,70sRock,0UAJH0k4k3slcE83a9UGCe,Lola - Coca Cola Version,0.582,0.474,241040,0.917,0.231,9,0.201,-4.19,1,0.0395,152.113,4,0.902
23,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,70sRock,3qT4bUD1MaWpGrTwcvguhb,Black Dog,0.396,0.437,295387,0.864,0.0314,4,0.242,-7.842,0,0.0904,81.394,4,0.749
24,Ramones - 40th Anniversary Deluxe Edition (Remastered),Ramones,70sRock,4KcH1ZRV2W1q7Flq0QqC76,Blitzkrieg Bop - 2016 Remastered Version,0.000269,0.385,134467,0.783,0.47,9,0.108,-2.533,1,0.233,176.701,4,0.902
25,In Color,Cheap Trick,70sRock,1JkZg3eMQTmTn93E8Yd3UL,I Want You to Want Me,0.78,0.806,191227,0.462,0.0134,2,0.15,-12.778,1,0.0298,92.726,4,0.736
26,Kiss (Remastered Version),KISS,70sRock,6PmckFG2BhEELc5OM7O7DS,Black Diamond,0.0889,0.321,313467,0.627,0.00878,8,0.0699,-9.509,0,0.0542,132.855,4,0.141
27,The Roaring Silence,Manfred Mann's Earth Band,70sRock,7kNNylJ1kswWbHeRM6UDuE,Blinded By The Light,0.291,0.456,428133,0.696,0.000207,5,0.0853,-10.0,1,0.0653,142.156,4,0.508
28,Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,70sRock,7MRyJPksH3G2cXHN8UKYzP,American Girl,0.448,0.55,214733,0.824,0.000127,2,0.366,-5.988,1,0.0334,114.512,4,0.777
29,The Dark Side of the Moon,Pink Floyd,70sRock,05uGBKRCuePsf43Hfm0JwX,Brain Damage,0.0726,0.322,226667,0.265,0.34,2,0.366,-13.398,1,0.0302,133.577,4,0.207
30,The Wall,Pink Floyd,70sRock,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,0.15,0.472,382297,0.366,0.308,11,0.0837,-12.595,0,0.0286,127.167,4,0.171
31,Born To Run,Bruce Springsteen,70sRock,6hTcuIQa0sxrrByu9wTD7s,Born to Run,0.00501,0.27,269920,0.944,2.05e-05,4,0.116,-4.199,1,0.0975,146.347,4,0.606
32,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),Derek & The Dominos,70sRock,2kkvB3RNRzwjFdGhaUA0tz,Layla - 40th Anniversary Version / 2010 Remastered,0.584,0.394,423840,0.918,0.332,1,0.309,-3.743,1,0.0709,115.646,4,0.479
33,The Cars,The Cars,70sRock,4alHo6RGd0D3OUbTPExTHN,Just What I Needed,0.0152,0.619,225627,0.579,6.4e-05,4,0.0858,-9.307,1,0.0473,127.224,4,0.69
34,"Never Mind The Bollocks, Here's The Sex Pistols",Sex Pistols,70sRock,3LoDeIbiR12sAznmpNEmKA,Anarchy In The U.K.,0.0422,0.323,211973,0.978,0.00019,5,0.201,-3.841,1,0.118,134.222,4,0.168
35,The Best Of Don McLean,Don McLean,70sRock,2QgWuCtBpNIpl5trmKCxRf,American Pie,0.6,0.527,515867,0.509,0.0,7,0.144,-10.893,1,0.0628,138.317,4,0.497
36,Aqualung,Jethro Tull,70sRock,5UuikgHTxSRFRnC0zXx10i,Aqualung,0.00809,0.453,395293,0.601,0.000761,5,0.304,-9.537,1,0.0621,122.591,4,0.486
37,Thirty Years Of Maximum R&B,The Who,70sRock,0Rp4akmfqBTpbDM6EoqtNy,Won't Get Fooled Again - Original Album Version,0.233,0.685,511293,0.806,0.728,2,0.105,-12.151,1,0.0497,134.889,4,0.31
38,Paranoid (Remastered Edition),Black Sabbath,70sRock,3IOQZRcEkplCXg6LofKqE9,Iron Man - Remastered Version,0.00349,0.336,355304,0.792,0.00178,9,0.0437,-10.875,1,0.0848,155.588,4,0.425
39,Jailbreak (Deluxe Edition),Thin Lizzy,70sRock,43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,0.245,0.444,266720,0.719,0.000382,8,0.306,-9.742,1,0.0481,80.593,4,0.775
40,Toys In The Attic,Aerosmith,70sRock,5SZ6zX4rOrEQferfFC2MfP,Walk This Way,0.0114,0.653,220400,0.73,1.03e-05,5,0.0754,-10.613,1,0.043,108.705,4,0.894
41,The Definitive Rod Stewart,Rod Stewart,70sRock,1r3kj1yMff7ilIsR7hpvUo,Maggie May - Remastered Version,0.717,0.62,345680,0.559,0.433,2,0.133,-10.568,1,0.0369,129.401,4,0.527
42,The Joker,Steve Miller Band,70sRock,1bp2IO61zbQrbWNmKKxg3f,The Joker,0.394,0.424,264504,0.446,3.78e-06,5,0.16,-9.618,1,0.0525,165.158,4,0.794
43,News Of The World (Deluxe Remastered Version),Queen,70sRock,54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,0.688,0.692,122067,0.488,0.0,11,0.4,-7.282,0,0.104,81.4,4,0.51
44,Transformer,Lou Reed,70sRock,5p3JunprHCxClJjOmcLV8G,Walk On the Wild Side,0.683,0.575,254173,0.318,0.000202,0,0.0934,-16.729,1,0.109,104.522,4,0.385
45,Sticky Fingers (Remastered),The Rolling Stones,70sRock,61UuPxxYUvacEH6SHIK3sU,Brown Sugar,0.215,0.641,228667,0.927,0.00029,0,0.045,-3.532,1,0.0351,128.606,4,0.966
46,American Woman,The Guess Who,70sRock,3LQPTJEqOfljGBxmpgUnoC,American Woman - Remastered,0.146,0.55,307493,0.726,0.00608,2,0.428,-8.51,1,0.0516,92.697,4,0.37
47,Agents Of Fortune,Blue Öyster Cult,70sRock,5QTxFnGygVM4jFQiBovmRo,(Don't Fear) The Reaper,0.0029,0.333,308120,0.927,0.000211,9,0.297,-8.55,0,0.0733,141.47,4,0.382
48,Decade,Neil Young,70sRock,5IRWgQiN0c2i4U97iE3OoY,Heart of Gold,0.212,0.542,187013,0.444,0.0519,4,0.102,-11.567,0,0.0295,171.719,4,0.827
49,Running On Empty,Jackson Browne,70sRock,4MZEZz8MqVgvIMXU6AVP22,Running On Empty,0.006,0.531,298093,0.948,0.0117,9,0.694,-5.438,1,0.0568,136.891,4,0.498
50,Dire Straits,Dire Straits,70sRock,6cr6UDpkjEaMQ80OjWqEBQ,Sultans Of Swing,0.0632,0.73,350400,0.868,0.0661,5,0.318,-7.325,1,0.0288,148.217,4,0.923
51,Honky Chateau (Remastered),Elton John,70sRock,3gdewACMIVMEWVbyb8O9sY,Rocket Man (I Think It's Going To Be A Long Long Time),0.386,0.602,281613,0.522,1.44e-05,10,0.0941,-9.031,1,0.0285,136.637,4,0.36
52,Rumours (Super Deluxe),Fleetwood Mac,70sRock,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remastered Edition,0.0644,0.828,257800,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789
53,News Of The World (Deluxe Remastered Version),Queen,70sRock,7ccI9cStQbQdystvc6TvxD,We Are The Champions - Remastered 2011,0.389,0.467,179200,0.486,0.0,10,0.121,-6.645,1,0.0274,95.205,3,0.184
54,The Anthology,Bachman-Turner Overdrive,70sRock,4Ich2datyOWMWvdNjksBDT,You Ain't Seen Nothing Yet,0.000199,0.479,232467,0.512,0.0164,11,0.123,-12.462,0,0.0382,118.953,4,0.795
55,The Wall,Pink Floyd,70sRock,7K6xMPtAjTuLPNlJMLf5bS,"Another Brick in the Wall, Pt. 1",0.937,0.617,192146,0.0457,0.641,0,0.0991,-26.401,1,0.0344,99.48,4,0.0967
56,Fragile (Deluxe Version),Yes,70sRock,0YveezON7jpiaHA8fnUHxN,Roundabout - Remastered Version,0.0682,0.41,510573,0.761,0.0077,4,0.0758,-9.453,0,0.0687,132.889,4,0.391
57,Brothers And Sisters (Deluxe Edition),The Allman Brothers Band,70sRock,2Q7LpkYrS0PBpoq3iCqypa,Ramblin' Man,0.488,0.309,288160,0.831,0.00304,1,0.286,-8.288,1,0.036,181.145,4,0.934
58,Sweet Baby James,James Taylor,70sRock,3LcYYV9ozePfgYYmXv0P3r,Fire And Rain,0.499,0.611,200579,0.35,7.84e-06,5,0.0844,-14.48,1,0.0356,76.064,4,0.36
59,All Things Must Pass (Remastered),George Harrison,70sRock,0qdQUeKVyevrbKhAo0ibxS,My Sweet Lord,0.0794,0.538,281227,0.704,0.0,1,0.0867,-8.904,0,0.0332,120.963,4,0.583
60,Who's Next (Deluxe Edition),The Who,70sRock,3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,0.287,0.494,300000,0.722,0.186,5,0.283,-8.373,1,0.0347,117.312,4,0.156
61,Best Of Blondie,Blondie,70sRock,0a4agFmqHXxcZl1nho1BxM,Heart Of Glass,0.015,0.694,275733,0.577,0.00836,4,0.0853,-14.63,1,0.0308,114.478,4,0.845
62,Get The Knack,The Knack,70sRock,1HOMkjp0nHMaTnfAkslCQj,My Sharona,0.0589,0.586,295400,0.7,0.00125,0,0.0318,-9.558,1,0.0363,147.245,4,0.897
63,Goodbye Yellow Brick Road (40th Anniversary Celebration),Elton John,70sRock,5Wj1rJnCLpMHdLaxsFtJLs,Bennie And The Jets - Remastered 2014,0.238,0.668,322549,0.678,6.29e-06,0,0.527,-8.015,1,0.0496,132.584,4,0.778
64,Eddie Money,Eddie Money,70sRock,5ZYvcJ04ccUw2Matbnmu0U,Baby Hold On,0.154,0.642,210827,0.641,1.23e-06,2,0.0475,-12.444,1,0.049,120.316,4,0.85
65,Blood On The Tracks,Bob Dylan,70sRock,6Vcwr9tb3ZLO63F8DL8cqu,Tangled up in Blue,0.414,0.421,341627,0.661,1.16e-06,9,0.0962,-13.126,1,0.0433,100.965,4,0.554
66,Van Halen (Remastered),Van Halen,70sRock,3KhF2YiNpJvGpfiCW45R6D,Runnin' With The Devil - 2015 Remastered Version,0.148,0.472,214960,0.9,0.000297,8,0.34,-6.406,0,0.0582,95.826,4,0.42
67,2112,Rush,70sRock,5H8xFHau0x3PI1CssO6EaX,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,0.0787,0.345,1233667,0.795,0.00165,2,0.18,-7.44,1,0.108,134.141,4,0.189
68,All The Young Dudes,Mott The Hoople,70sRock,0WNGPpmWqzPnk0psUhJ3SX,All the Young Dudes,0.208,0.429,211067,0.668,0.0,4,0.538,-7.539,0,0.044,77.737,4,0.398
69,20th Century Masters: The Millennium Collection: Best Of Free,Free,70sRock,2ZMEdXxVSRfMshCDBMjt0o,All Right Now,0.00966,0.786,334000,0.481,0.0,2,0.0954,-11.236,1,0.114,119.854,4,0.785
70,Born To Run,Bruce Springsteen,70sRock,4cKJsZuzbNBpdxeMC9pBQG,Backstreets,0.201,0.225,390147,0.889,0.734,7,0.379,-4.371,1,0.0337,96.02,4,0.599
71,Little Queen,Heart,70sRock,4KfSdst7rW39C0sfhArdrz,Barracuda,0.015,0.547,261933,0.691,0.105,4,0.144,-13.553,0,0.0369,137.148,4,0.667
72,Desolation Boulevard,Sweet,70sRock,3Pu3IChaAoa5EjgUBv5F6x,Ballroom Blitz,0.0821,0.644,246573,0.799,0.00154,4,0.055,-10.856,0,0.0598,108.382,4,0.889
73,The Very Best Of Ram Jam,Ram Jam,70sRock,2ZOTtG7v1OrSNs6EINIGb4,Black Betty,0.018,0.465,237893,0.865,0.00135,11,0.0769,-9.573,0,0.098,117.528,4,0.677
74,Some Girls,The Rolling Stones,70sRock,77oU2rjC5XbjQfNe3bD6so,Beast Of Burden - Remastered,0.387,0.787,265173,0.877,0.00065,1,0.0387,-3.822,0,0.032,100.61,4,0.837
75,Band On The Run,Paul McCartney,70sRock,1H4idkmruFoJBg1DvUv2tY,Band On The Run - Remastered 2010,0.0694,0.481,313027,0.58,0.0012,4,0.0886,-8.712,0,0.0333,124.983,4,0.629
76,Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,70sRock,5x53pbGk6sbl1BGom19QQ5,Breakdown,0.398,0.625,163893,0.35,6.76e-05,9,0.123,-8.395,0,0.0436,113.688,4,0.69
77,Leftoverture,Kansas,70sRock,4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,0.00316,0.483,323000,0.786,8.86e-05,7,0.446,-5.735,1,0.0319,126.748,4,0.793
78,Cat Scratch Fever,Ted Nugent,70sRock,0SvfyHYDp2uIsHt53LDlI9,Cat Scratch Fever,0.0049,0.549,219400,0.916,0.123,4,0.104,-4.185,0,0.034,127.131,4,0.632
79,Bridge Over Troubled Water,Simon & Garfunkel,70sRock,6l8EbYRtQMgKOyc1gcDHF9,Bridge Over Troubled Water,0.822,0.149,293120,0.206,0.000649,3,0.115,-13.888,1,0.0323,79.764,4,0.264
80,Moondance (Deluxe Edition),Van Morrison,70sRock,1US01PIcb3RFVrcN8mO8CS,Caravan,0.294,0.641,300800,0.397,0.000717,7,0.0496,-12.285,1,0.0454,81.962,4,0.57
81,10 From 6,Bad Company,70sRock,3DnzFhjydj8XXtCAnVKz14,Can't Get Enough - Remastered Version,0.132,0.662,254400,0.763,0.0013,0,0.067,-7.475,1,0.0397,126.333,4,0.699
82,Deguello,ZZ Top,70sRock,30jsPpxLvSCYTTTtdjRzBp,Cheap Sunglasses,0.148,0.617,288400,0.461,0.0151,5,0.12,-14.485,0,0.0434,93.853,4,0.828
83,The Captain And Me,The Doobie Brothers,70sRock,7cy1bEJV6FCtDaYpsk8aG6,China Grove,0.319,0.623,195307,0.91,0.000448,9,0.081,-8.448,1,0.0384,145.624,4,0.745
84,Boston,Boston,70sRock,39C5FuZ8C8M0QI8CrMsPkR,Foreplay / Long Time,0.00975,0.436,467640,0.657,0.00748,5,0.0931,-8.868,1,0.0541,118.693,4,0.21
85,Gold,Styx,70sRock,11G0yprQtMU53BLPMSr093,Come Sail Away,0.16,0.287,365000,0.562,0.0,0,0.103,-7.549,1,0.0304,147.622,4,0.126
86,Even In The Quietest Moments (Remastered),Supertramp,70sRock,6XUHsYE38CEbYunT983O9G,Give A Little Bit,0.0803,0.536,248173,0.828,0.00806,2,0.271,-5.246,1,0.0502,90.817,4,0.495
87,Jackson Browne (Saturate Before Using),Jackson Browne,70sRock,3QcuZo6WLcFkqqLmDs0d95,Doctor My Eyes,0.266,0.48,199907,0.626,5.7e-05,5,0.0857,-8.406,1,0.0294,75.63,4,0.542
88,Straight Shooter,Bad Company,70sRock,3KPwt1LBpt1jVSHz8GXERo,Feel Like Makin' Love - 2015 Remastered Version,0.326,0.543,313840,0.529,0.00269,7,0.709,-9.717,1,0.0301,85.126,4,0.746
89,Shine On - A Collection,Peter Frampton,70sRock,3rHHxve6ZpvjRM9bqTu4tL,Do You Feel Like We Do,0.0439,0.295,836667,0.568,0.0117,0,0.977,-8.232,1,0.0284,98.284,4,0.384
90,L.A. Woman,The Doors,70sRock,6DmfWj5kOa1fX8AwN9byOn,L.A. Woman,0.0817,0.354,471160,0.731,0.00119,2,0.115,-9.178,1,0.0381,170.64,4,0.698
91,Platinum Collection,Genesis,70sRock,2Nt7pyRux0CB8i2KB4DMVT,The Lamb Lies Down On Broadway (Platinum Collection Version),0.453,0.377,289373,0.778,0.0,4,0.571,-6.658,1,0.0827,117.238,4,0.218
92,Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture) (Remastered),Bob Dylan,70sRock,6HSXNV0b4M4cLJ7ljgVVeh,Knockin' On Heaven's Door - Remastered,0.251,0.513,149880,0.396,0.177,7,0.11,-13.061,1,0.0299,140.208,4,0.229
93,Aja,Steely Dan,70sRock,7Hx2EA4wGaxtsiZCVVLV1i,Deacon Blues,0.481,0.751,456640,0.572,0.000532,0,0.105,-12.324,1,0.0388,115.839,4,0.58
94,Hotel California (Remastered),Eagles,70sRock,6gXrEUzibufX9xYPk3HD5p,Life In The Fast Lane - Remastered,0.0966,0.667,286220,0.755,6.94e-05,9,0.0523,-7.246,1,0.069,109.535,4,0.883
95,"But Seriously, Folks...",Joe Walsh,70sRock,2wvMC5EyaaYQwBfiwwY2xE,Life's Been Good,0.25,0.505,536227,0.476,0.00915,2,0.113,-12.897,1,0.0711,99.31,4,0.542
96,Aqualung,Jethro Tull,70sRock,0MYNeFsKpzBHwrJGfWZysV,Locomotive Breath,0.103,0.614,268907,0.566,0.0113,11,0.215,-11.059,0,0.0562,125.288,4,0.2
97,Greatest Hits,Neil Young,70sRock,4CqbJHZ6JtVM3MLh41y7JI,Like A Hurricane,0.0129,0.423,501213,0.834,0.00113,9,0.164,-5.498,0,0.037,113.876,4,0.606
98,A New World Record,Electric Light Orchestra,70sRock,2hdNya0b6Cc2YJ8IyaQIWp,Livin' Thing,0.583,0.549,212307,0.651,0.0,0,0.121,-7.097,1,0.0323,122.818,4,0.368
99,Bat Out Of Hell,Meat Loaf,70sRock,2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light,0.214,0.326,508333,0.872,0.0,2,0.461,-7.602,1,0.122,173.381,4,0.492
0,American Idiot,Green Day,2000sRock,6nTiIhLmQ3FWhvrGafw2zj,American Idiot,2.64e-05,0.38,176346,0.988,7.86e-05,1,0.368,-2.042,1,0.0639,186.113,4,0.769
1,One-X,Three Days Grace,2000sRock,5PZ2cqh9Yem2g6cTSOLllz,Pain,0.00804,0.416,202973,0.741,0.0,7,0.273,-4.001,1,0.0335,160.515,4,0.286
2,AM,Arctic Monkeys,2000sRock,3jfr0TF6DQcOLat8gGn7E2,Do I Wanna Know?,0.186,0.548,272394,0.532,0.000263,5,0.217,-7.596,1,0.0323,85.03,4,0.405
3,X & Y,Coldplay,2000sRock,7clUVcSOtkNWa58Gw5RfD4,Speed Of Sound,0.00491,0.523,287907,0.898,0.0345,11,0.0746,-6.765,0,0.0567,123.085,4,0.355
4,Nevermind (Deluxe Edition),Nirvana,2000sRock,2piWbL2kwFYxcAEA3VD3F3,Territorial Pissings,0.000208,0.285,142947,0.974,0.0,2,0.223,-4.342,1,0.173,183.021,4,0.131
5,Nevermind (Deluxe Edition),Nirvana,2000sRock,6HcP6EzBwkMXDGbKEJci8o,Breed,3.16e-06,0.256,184040,0.958,0.0373,9,0.138,-4.577,1,0.107,158.554,4,0.311
6,Nevermind (Deluxe Edition),Nirvana,2000sRock,4WUB41cJYgrMXJs9Q0fGeM,Drain You,0.00017,0.334,223880,0.911,2.82e-06,11,0.173,-5.615,0,0.0797,132.846,4,0.206
7,Nevermind (Deluxe Edition),Nirvana,2000sRock,4EV5e8cPSZmPPWI2BJoFgB,On A Plain,0.000179,0.419,194427,0.939,1.09e-06,2,0.158,-4.687,1,0.1,133.34,4,0.38
8,In Utero - 20th Anniversary - Deluxe Edition,Nirvana,2000sRock,11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,0.184,0.494,281160,0.677,0.0258,6,0.0926,-10.233,1,0.0452,101.539,4,0.316
9,In Utero - 20th Anniversary - Deluxe Edition,Nirvana,2000sRock,5Rizj5FLb2AyNKu9esjYY6,Rape Me,0.0217,0.416,170000,0.743,0.0,8,0.0646,-10.613,1,0.0476,111.879,4,0.259
10,In Utero - 20th Anniversary - Deluxe Edition,Nirvana,2000sRock,2JLMHADAyossZlBcpc8TDs,Dumb,0.412,0.702,151893,0.4,0.665,11,0.228,-13.58,1,0.0293,113.511,4,0.811
11,Anthology,Alien Ant Farm,2000sRock,0DVxWV6V1nWa7Ml68Frd3D,Movies,0.000161,0.547,195707,0.919,0.001,4,0.197,-5.037,1,0.0571,112.889,4,0.529
12,The Same Old Blood Rush With A New Touch,Cute Is What We Aim For,2000sRock,6uzuW7L1t1UhnzbfXwtMtQ,The Curse Of Curves,0.39,0.534,203627,0.792,0.0,5,0.191,-4.512,1,0.0677,145.881,4,0.477
13,From Death To Destiny,Asking Alexandria,2000sRock,7IiqF2tYiixnpBcFjkocjA,Moving On,0.000569,0.446,242593,0.761,0.0,3,0.182,-4.141,0,0.032,134.971,4,0.336
14,The Black,Asking Alexandria,2000sRock,4ORXSxr4tV5H6gH5KHAiAh,The Black,0.00151,0.417,281333,0.954,0.0,11,0.407,-4.152,0,0.0627,96.993,4,0.146
15,"Proudly Present... A Guide To Love, Loss & Desperation (Special Edition)",The Wombats,2000sRock,60Ih7J2Q1o9shvMC2OAALu,Let's Dance To Joy Division,0.00125,0.397,191293,0.839,0.0,4,0.576,-6.674,1,0.102,116.947,4,0.764
16,"Proudly Present... A Guide To Love, Loss & Desperation (Special Edition)",The Wombats,2000sRock,5YHhxbtAAkOiIXqNBfYjZU,Moving To New York,2.93e-05,0.252,210560,0.886,5.33e-06,9,0.256,-4.678,0,0.0714,161.939,4,0.498
17,"Proudly Present... A Guide To Love, Loss & Desperation (Special Edition)",The Wombats,2000sRock,6uhvuMDb93ANzVxNABDgf1,Kill The Director,0.00347,0.41,161560,0.858,0.0,1,0.0897,-5.295,0,0.0485,161.487,4,0.962
18,Blue Stahli,Blue Stahli,2000sRock,1Ekb2XIjYBBWiZ4tge6r7o,ULTRAnumb,0.000184,0.439,265435,0.915,0.000899,2,0.326,-7.078,0,0.0745,91.993,4,0.34
19,How Did We Get So Dark?,Royal Blood,2000sRock,1060gzllf4b0UETAXisR5l,Lights Out,0.000127,0.501,236427,0.824,0.000311,0,0.0922,-7.25,1,0.0413,89.972,4,0.57
20,WALLS,Kings of Leon,2000sRock,5LlsD7LdSMkGV4Iu0a2Zq0,Waste A Moment,0.000861,0.436,183093,0.85,0.74,2,0.128,-4.86,1,0.0617,152.644,4,0.537
21,WALLS,Kings of Leon,2000sRock,5cm47Nc1MWBVIkRFaXxvHY,Reverend,0.0867,0.448,234080,0.815,0.686,0,0.316,-5.951,0,0.0361,124.808,4,0.217
22,WALLS,Kings of Leon,2000sRock,06ClI3XK2FPR5uP8tPcFS1,Around The World,0.000252,0.575,214040,0.854,0.676,1,0.351,-5.847,0,0.0362,113.075,4,0.587
23,WALLS,Kings of Leon,2000sRock,2mwnYvlLVP465u9V9wjUGj,Find Me,0.000136,0.4,245573,0.946,0.853,1,0.155,-3.966,0,0.0634,161.591,4,0.611
24,Seal The Deal & Let's Boogie (Deluxe),Volbeat,2000sRock,7fC2VKgYfCW68vlMhmcaAj,For Evigt,0.000324,0.509,283367,0.892,0.0,2,0.132,-3.913,1,0.0418,146.95,4,0.483
25,Seal The Deal & Let's Boogie,Volbeat,2000sRock,1Po4pby30EDHDFUKGE9hgJ,Black Rose,0.00638,0.488,235307,0.886,1.15e-05,4,0.0908,-3.76,1,0.051,162.016,4,0.523
26,Only Revolutions,Biffy Clyro,2000sRock,1auUyL63z3sWnBhooTnz31,Many Of Horror,0.00427,0.498,258573,0.647,9.87e-06,1,0.146,-7.631,1,0.0358,163.87,4,0.257
27,Only Revolutions,Biffy Clyro,2000sRock,1aKNbn5AsDWydycvr1gYBa,Bubbles,0.00203,0.35,301080,0.724,0.00136,3,0.113,-5.888,1,0.0314,147.344,4,0.196
