album,artist,genre,id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Midnight Memories (Deluxe),One Direction,Pop,4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,0.225,0.6,245493,0.663,0,3,0.119,-5.802,1,0.0477,121.07,4,0.286
x (Deluxe Edition),Ed Sheeran,Pop,34gCuhDGsG4bRPIf9bb02f,Thinking Out Loud,0.474,0.781,281560,0.445,0,2,0.184,-6.061,1,0.0295,78.998,4,0.591
We Sing. We Dance. We Steal Things.,Jason Mraz,Pop,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,0.595,0.686,242187,0.457,0,11,0.105,-8.322,1,0.0468,150.953,4,0.718
21,Adele,Pop,4kflIGfjdZJW4ot2ioixTB,Someone Like You,0.892,0.559,285040,0.33,0,9,0.0975,-8.251,1,0.0285,135.109,4,0.285
All The Little Lights,Passenger,Pop,7DFNE7NO0raLIUbgzY2rzm,Let Her Go,0.385,0.509,252867,0.538,0,7,0.104,-7.335,1,0.0572,75.089,4,0.244
Good Girl Gone Bad: Reloaded,Rihanna,Pop,3goSVuTt3fDYDP6kRnFwuL,Take A Bow,0.242,0.705,229413,0.469,0,9,0.104,-7.46,1,0.0771,82.009,4,0.552
#3 Deluxe Version,The Script,Pop,7wMq5n8mYSKlQIGECKUgTX,Hall of Fame,0.0653,0.421,202533,0.873,0,10,0.123,-4.343,1,0.0565,84.803,4,0.63
Back To Bedlam (U.S. Amended),James Blunt,Pop,6GU19qDSbCWw5HKwfYTgVq,You're Beautiful,0.603,0.679,213053,0.54,1.70E-05,0,0.0905,-7.457,0,0.026,81.971,4,0.449
Love Yourself,Justin Bieber,Pop,4qug3gWrzeTNm0GhOkugJV,Love Yourself,0.859,0.795,233747,0.378,0,4,0.204,-9.979,1,0.316,100.227,4,0.576
Love In The Future,John Legend,Pop,3U4isOIWM3VvDubwSI3y7a,All of Me,0.922,0.422,269560,0.264,0,8,0.132,-7.064,1,0.0322,119.93,4,0.331
Just The Way You Are,Bruno Mars,Pop,24lMtPOCzP5g4hrg3NklLa,Just The Way You Are,0.0151,0.637,220733,0.843,0,5,0.0876,-5.413,1,0.0432,109.012,4,0.434
÷ (Deluxe),Ed Sheeran,Pop,51ChrwmUPDJvedPQnIU8Ls,Dive,0.355,0.761,238440,0.386,0,4,0.0953,-6.158,1,0.0399,134.943,3,0.526
La La Land (Original Motion Picture Soundtrack),Ryan Gosling,Pop,6XQHlsNu6so4PdglFkJQRJ,"City Of Stars - From ""La La Land"" Soundtrack",0.906,0.474,149707,0.121,1.16E-06,2,0.0885,-15.127,0,0.0384,97.219,4,0.424
Hozier,Hozier,Pop,0aOluBqXYd0rFSCsgDyAWX,Take Me to Church,0.634,0.566,241693,0.664,0,4,0.116,-5.303,0,0.0464,128.945,4,0.437
What About Us,P!nk,Pop,31MkGwj0SWgZaTvEt5Hgxv,What About Us,0.0254,0.386,271520,0.594,3.03E-06,1,0.0873,-6.186,1,0.0565,113.843,4,0.187
Naked,James Arthur,Pop,7krbSH3rd8lhIZvuzTV3Bl,Naked,0.104,0.529,234107,0.607,0,6,0.0631,-6.781,1,0.0574,101.966,4,0.238
A Rush Of Blood To The Head,Coldplay,Pop,75JFxkI2RXiU7L9VXzMkle,The Scientist,0.727,0.56,309600,0.442,1.71E-05,5,0.11,-7.224,1,0.0243,146.448,4,0.212
"Heaven [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",Julia Michaels,Pop,4QfNOZN7vrQCQKK1ZJ3XPb,Heaven,0.863,0.544,191813,0.379,0,7,0.083,-9.113,0,0.0412,199.756,3,0.322
Lost Boy,Ruth B.,Pop,4h0zU3O9R5xzuTmNO7dNDU,Lost Boy,0.965,0.71,275280,0.0565,0,7,0.0889,-15.099,1,0.0534,123.994,4,0.348
Pray,Sam Smith,Pop,3BgvCj5oUc8jpL8YCB9y8S,Pray,0.282,0.463,221596,0.388,2.54E-06,7,0.0866,-9.367,1,0.0437,77.415,5,0.166
Nine Track Mind,Charlie Puth,Pop,37FXw5QGFN7uwwsLy8uAc0,We Don't Talk Anymore (feat. Selena Gomez),0.621,0.728,217707,0.563,0,1,0.179,-8.053,0,0.134,100.017,4,0.352
The Diary Of Alicia Keys,Alicia Keys,Pop,3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,0.603,0.609,228707,0.445,6.77E-06,7,0.104,-9.129,1,0.106,118.393,3,0.166
Is There Anybody Out There?,A Great Big World,Pop,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,0.857,0.407,229400,0.147,2.89E-06,2,0.0913,-8.822,1,0.0355,141.284,3,0.0765
Unorthodox Jukebox,Bruno Mars,Pop,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,0.932,0.612,213827,0.28,0,0,0.088,-8.648,1,0.0434,72.795,4,0.387
Bundle of Tantrums,Jasmine Thompson,Pop,5fa6CrQwHwthEoCvTtd5Ig,Let Her Go,0.95,0.445,172149,0.407,0,3,0.227,-6.883,1,0.0349,131.479,3,0.231
Too Much To Ask,Niall Horan,Pop,2NkbRmygVirMQFCjSkyY7Q,Too Much To Ask,0.371,0.443,223044,0.55,0,0,0.125,-6.417,1,0.041,77.52,4,0.188
Golden Slumbers,Elbow,Pop,6aVrw27a4INLfxTvbJF24k,Golden Slumbers,0.886,0.494,144387,0.119,0,0,0.106,-11.831,1,0.0271,81.805,4,0.264
GEMINI,Macklemore,Pop,2Za1AlJNvksouPPWbXpR2X,Good Old Days (feat. Kesha),0.446,0.712,240507,0.51,2.46E-05,8,0.112,-8.162,1,0.0633,122.964,4,0.268
Chaos And The Calm,James Bay,Pop,13HVjjWUZFaWilh2QUJKsP,Let It Go,0.804,0.568,260533,0.293,1.26E-05,1,0.107,-10.253,1,0.0313,147.175,4,0.247
Beautiful Trauma,P!nk,Pop,1ipE3bBLWeLkIvxWUaxpSu,Beautiful Trauma,0.0868,0.412,250053,0.619,2.55E-06,7,0.4,-6.39,1,0.0725,95.977,4,0.234
+,Ed Sheeran,Pop,1VdZ0vKfR5jneCmWIUAMxK,The A Team,0.669,0.642,258373,0.289,0,9,0.18,-9.918,1,0.0367,84.996,4,0.407
The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack [Deluxe Spotify Exclusive]),Christina Perri,Pop,1QUpqu8865jfasDr8M3IKN,A Thousand Years,0.309,0.421,285120,0.407,0.000961,10,0.11,-7.445,1,0.0267,139.028,3,0.161
Back from the Edge,James Arthur,Pop,0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,0.308,0.696,246880,0.543,0,11,0.0939,-6.164,1,0.0489,107.969,4,0.479
I Won't Give Up,Jason Mraz,Pop,05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,0.694,0.585,240166,0.303,0,4,0.115,-10.058,1,0.0398,136.703,3,0.142
Slow Hands,Niall Horan,Pop,27vTihlWXiz9f9lJM3XGVU,Slow Hands,0.0133,0.726,188174,0.429,0,0,0.0574,-6.623,1,0.0519,85.899,4,0.871
Sign of the Times,Harry Styles,Pop,5ELRkzdzz0HvGpMDlfZHkV,Sign of the Times,0.0259,0.518,340707,0.575,0,5,0.109,-4.616,1,0.0302,120.019,4,0.209
"Hey, Soul Sister",Train,Pop,0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",0.217,0.675,216667,0.885,0,1,0.086,-4.432,0,0.0436,97.03,4,0.768
reputation,Taylor Swift,Pop,6NFyWDv5CjfwuzoCkw47Xf,Delicate,0.228,0.745,232253,0.41,0.000383,9,0.0906,-10.212,0,0.0779,95.022,4,0.0596
25,Adele,Pop,4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,0.0189,0.596,240427,0.838,1.54E-05,5,0.108,-6.52,0,0.0704,94.982,4,0.472
The Best You Had,Nina Nesbitt,Pop,5GT8b1dFaOWFF5twsmSOYx,The Best You Had,0.358,0.595,175061,0.608,0,5,0.0843,-5.303,0,0.0373,60.878,4,0.452
How To Save A Life,The Fray,Pop,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,0.269,0.64,262533,0.743,0,10,0.101,-4.08,1,0.0379,122.035,4,0.361
When We Were Young,Adele,Pop,7A2eDNBgJrEVE87C8pOMqN,When We Were Young,0.348,0.381,290907,0.594,0,3,0.0925,-5.97,1,0.0486,143.86,4,0.273
19,Adele,Pop,7rPLZ8Krm6CZIbraFUlnWZ,Make You Feel My Love,0.91,0.325,212040,0.18,0.000633,10,0.113,-10.647,1,0.0311,72.416,1,0.0997
Some Type Of Love,Charlie Puth,Pop,6ukMqDxnOPOgoHdak7Kyp3,Marvin Gaye (feat. Meghan Trainor),0.417,0.795,190453,0.616,0,1,0.349,-5.281,0,0.06,110.015,4,0.815
Fifty Shades Of Grey (Original Motion Picture Soundtrack),Ellie Goulding,Pop,1ip2IGDWMrUmlaepEbWlL8,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.246,0.255,250267,0.652,0,5,0.119,-5.909,0,0.0614,189.633,4,0.281
Malibu,Miley Cyrus,Pop,2habSXqcJGExM6JJyskY7O,Malibu,0.0577,0.565,231906,0.782,4.16E-05,8,0.0757,-6.413,1,0.0506,140.004,4,0.4
The Truth About Love,P!nk,Pop,1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason,0.346,0.778,242733,0.547,0.000302,2,0.132,-7.273,1,0.0489,95.002,4,0.441
Native (Deluxe),OneRepublic,Pop,1fh2TfUOtOoXEE8qQynYEC,Counting Stars,0.0649,0.663,257280,0.712,0,1,0.119,-4.945,0,0.0381,122.014,4,0.48
+,Ed Sheeran,Pop,53Pgsvu3qSYO2aXt5J2vcL,Lego House,0.562,0.592,185093,0.637,0,11,0.13,-8.48,1,0.0992,159.701,4,0.565
13 Reasons Why (A Netflix Original Series Soundtrack),Lord Huron,Pop,3FsBtu3gdlfZjBLXyDvmj1,The Night We Met,0.97,0.549,206933,0.371,0.132,2,0.639,-9.56,1,0.0378,87.024,3,0.13
Cheers To The Fall,Andra Day,Pop,0tV8pOpiNsKqUys0ilUcXz,Rise Up,0.805,0.398,253342,0.316,0,1,0.295,-7.031,1,0.0368,118.582,4,0.174
Nine Track Mind,Charlie Puth,Pop,7soJgKhQTO8hLP2JPRkL5O,One Call Away,0.403,0.667,194453,0.613,0,1,0.115,-5.353,1,0.0344,91.024,4,0.47
dont smile at me,Billie Eilish,Pop,44jVYj3TXig7Cf1vkgulnQ,watch,0.302,0.447,177523,0.602,0.00233,0,0.107,-8.996,1,0.219,165.041,4,0.35
Send My Love (To Your New Lover),Adele,Pop,3LGxef3inmn5jMLGDz9lqw,Send My Love (To Your New Lover),0.0415,0.69,223080,0.524,3.16E-06,6,0.17,-8.39,0,0.103,164.023,4,0.562
Camino Palmero,The Calling,Pop,5QpaGzWp0hwB5faV8dkbAz,Wherever You Will Go,0.0367,0.558,208600,0.719,0,2,0.115,-5.113,1,0.0267,112.027,4,0.371
Home To Mama,Justin Bieber,Pop,1qXDjWPzxa02VClFJmu6nx,Home To Mama,0.95,0.688,203267,0.296,0.000166,2,0.115,-11.064,1,0.0872,89.091,4,0.478
÷ (Deluxe),Ed Sheeran,Pop,7qiZfU4dY1lWllzX7mPBI3,Shape of You,0.581,0.825,233713,0.652,0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
In The Lonely Hour (Deluxe),Sam Smith,Pop,2VZ8vDGBVKW5shpP3ytWSz,Make It To Me,0.634,0.506,162732,0.372,1.65E-06,1,0.099,-8.491,1,0.0642,150.225,4,0.234
The Reason,Hoobastank,Pop,7afSN5zhUhkbpRFpYKYztK,The Reason,0.0129,0.472,232800,0.671,0,4,0.159,-4.649,1,0.029,82.952,4,0.0681
Greatest Hits Volume One - The Singles,The Goo Goo Dolls,Pop,6vrUTGn5p8IrfTZ0J6sIVM,Iris,0.00133,0.291,289907,0.79,5.61E-06,11,0.0811,-5.683,0,0.0363,155.667,3,0.513
We Sing. We Dance. We Steal Things.,Jason Mraz,Pop,0IktbUcnAGrvD03AWnz3Q8,Lucky,0.296,0.623,191360,0.417,0,0,0.135,-8.699,1,0.0354,130.032,4,0.721
Lay Me Down,Sam Smith,Pop,6x69yrZAJvsYxhk0CJS4uT,Lay Me Down,0.336,0.59,229015,0.451,0,4,0.103,-8.194,1,0.0417,129.729,4,0.334
Lay Me Down,Sam Smith,Pop,5Nbe9vDQ1YJdreVIlhZEpP,Lay Me Down,0.915,0.463,219663,0.198,0,4,0.106,-11.003,1,0.0387,123.63,4,0.369
This Town,Niall Horan,Pop,5dTJMpqiELczVuHJP3OAEu,This Town,0.711,0.69,232600,0.407,0,9,0.126,-7.739,1,0.0297,111.916,4,0.181
X & Y,Coldplay,Pop,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,0.163,0.209,295533,0.418,0.00195,3,0.113,-8.74,1,0.0338,138.265,4,0.123
Lost Without You,Freya Ridings,Pop,3QlF2ExmrRP0RM7ffv7y0Q,Lost Without You,0.928,0.409,225076,0.137,0,6,0.0706,-9.169,1,0.0446,162.08,1,0.106
x (Deluxe Edition),Ed Sheeran,Pop,5pY3ovFxbvAg7reGZjJQSp,I See Fire,0.638,0.641,299147,0.176,5.14E-06,6,0.252,-11.692,1,0.0349,76.031,4,0.297
PRISM (Deluxe),Katy Perry,Pop,2RPNCUaDL2ixoY9wGpoJoQ,Unconditionally,0.00357,0.555,228879,0.729,0,7,0.209,-4.813,1,0.0387,129.003,4,0.369
Rude,MAGIC!,Pop,3tCwjWLicbjsMCvXhN0WOE,Rude,0.0435,0.743,224773,0.807,0,1,0.309,-3.78,1,0.0364,144.062,4,0.899
Daniel Powter (U.S. Release),Daniel Powter,Pop,0mUyMawtxj1CJ76kn9gIZK,Bad Day,0.448,0.599,233640,0.785,0.00336,3,0.151,-4.013,1,0.0309,140.046,4,0.52
Stargazing - EP,Kygo,Pop,0Zbbxnx4SGGHoIow4PpISP,Stargazing,0.152,0.677,236853,0.497,0,5,0.0911,-5.763,1,0.0809,99.137,4,0.419
B'Day Deluxe Edition,Beyoncé,Pop,6RX5iL93VZ5fKmyvNXvF1r,Irreplaceable,0.0293,0.447,227853,0.694,5.46E-06,7,0.167,-4.637,0,0.382,175.868,4,0.509
Over And Over Again,Nathan Sykes,Pop,1X6kxrjWVWiKMqulM8XZpj,Over And Over Again,0.962,0.47,246896,0.271,0,8,0.106,-8.335,1,0.0392,129.623,4,0.388
Cups (Pitch Perfect’s “When I’m Gone”),Anna Kendrick,Pop,2sCl0FFOzZSmYZs90zOpd1,Cups (Pitch Perfect’s “When I’m Gone”),0.0582,0.886,126880,0.448,0.00658,0,0.035,-8.866,1,0.112,129.966,4,0.731
x (Deluxe Edition),Ed Sheeran,Pop,1HbcclMpw0q2WDWpdGCKdS,Tenerife Sea,0.697,0.53,241347,0.346,1.07E-05,8,0.105,-10.497,1,0.0376,121.876,4,0.359
Drops Of Jupiter,Train,Pop,2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter,0.154,0.468,259933,0.64,0,0,0.154,-5.862,1,0.0275,79.297,4,0.499
I Like Me Better,Lauv,Pop,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,0.535,0.752,197437,0.505,2.55E-06,9,0.104,-7.621,1,0.253,91.97,4,0.419
Dream Your Life Away,Vance Joy,Pop,7BVwi9cIzSc6tpyxsp47vJ,Mess Is Mine,0.047,0.595,223640,0.723,0.0286,7,0.0995,-8.256,1,0.0349,108.043,1,0.272
Parachutes,Coldplay,Pop,3AJwUDP919kvQ9QcozQPxg,Yellow,0.00239,0.429,266773,0.661,0.00013,11,0.234,-7.227,1,0.0281,173.365,4,0.285
Little Voice,Sara Bareilles,Pop,4E6cwWJWZw2zWf7VFbH7wf,Love Song,0.0208,0.583,258827,0.786,0,2,0.188,-3.142,0,0.0301,123.052,4,0.573
lovestrong.,Christina Perri,Pop,0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,0.726,0.349,246587,0.348,0,3,0.12,-6.142,1,0.0316,74.541,4,0.0886
Sheezus,Lily Allen,Pop,1mvfvDZOybiEgS1ecJxt9W,Somewhere Only We Know,0.935,0.314,208154,0.286,0.0258,10,0.0999,-10.191,1,0.035,172.021,4,0.278
19,Adele,Pop,59tg0OPhiHlbsVZ9GFqUk5,Chasing Pavements,0.325,0.615,210507,0.472,0,5,0.115,-6.073,0,0.0267,80.072,4,0.327
Native (Deluxe),OneRepublic,Pop,519uJbE3zyKLlToVA65PrP,Counting Stars,0.066,0.665,257267,0.7,0,1,0.119,-4.946,0,0.042,121.961,4,0.473
Wrecking Ball,Miley Cyrus,Pop,6oDPg7fXW3Ug3KmbafrXzA,Wrecking Ball,0.395,0.466,223240,0.403,0,5,0.111,-6.142,1,0.0337,119.81,4,0.337
Diamonds,Rihanna,Pop,1mwt9hzaH7idmC5UCoOUkz,Diamonds,0.00117,0.553,225200,0.674,0,11,0.16,-6.057,0,0.045,91.958,4,0.369
Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,Pop,4z8ssgZfs5TzKiO8HaGWXO,E.T.,0.0213,0.603,206373,0.872,0,5,0.366,-5.404,0,0.0792,150.104,4,0.691
Problem,Ariana Grande,Pop,3cySlItpiPiIAzU3NyHCJf,Problem,0.0226,0.66,193987,0.798,2.20E-05,1,0.103,-5.326,0,0.162,103.022,4,0.627
Rather Be (feat. Jess Glynne),Clean Bandit,Pop,3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),0.162,0.799,227833,0.586,2.03E-06,11,0.193,-6.735,1,0.0377,120.97,4,0.549
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,Pop,1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz),0.0619,0.781,235613,0.526,0,6,0.0457,-6.985,0,0.293,94.992,4,0.662
Animal + Cannibal (Deluxe Edition),Kesha,Pop,4srpHYFHKjVGRDNHqRpWxi,TiK ToK,0.0746,0.755,199693,0.832,1.27E-06,2,0.291,-2.741,0,0.116,120.032,4,0.735
Is There Anybody Out There?,A Great Big World,Pop,2fPb58e6f8KxejYDCaARwS,Say Something,0.872,0.447,233267,0.158,1.58E-06,2,0.0816,-7.571,1,0.036,140.942,3,0.142
Hot N Cold,Katy Perry,Pop,0IZM2onaTBMRTEIcc5oIi9,Hot N Cold,8.10E-05,0.702,223227,0.839,0,7,0.072,-3.992,1,0.0439,132.007,4,0.856
Pure Heroine,Lorde,Pop,2dLLR6qlu5UJ5gk0dKz0h3,Royals,0.106,0.616,190185,0.432,0,7,0.132,-9.546,1,0.133,84.778,4,0.302
Pompeii,Bastille,Pop,7Fw5i56my24ZBnGS7hFX2n,Pompeii,0.0749,0.681,214148,0.709,0,9,0.266,-6.488,1,0.041,127.44,4,0.591
Applause,Lady Gaga,Pop,5I9Py57H8vqanuNhUVcLHN,Applause,0.0299,0.667,212493,0.771,1.16E-06,7,0.0998,-4.269,0,0.052,139.951,4,0.688
Blurred Lines,Robin Thicke,Pop,0XzkemXSiXJa7VgDFPfU4S,Blurred Lines,0.00453,0.862,263053,0.503,1.87E-05,7,0.0761,-7.703,1,0.0494,119.998,4,0.863
Nothing But the Beat (Ultimate Edition),David Guetta,Pop,0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),0.0682,0.602,245053,0.796,0.12,0,0.15,-3.657,0,0.103,126.06,4,0.265
Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,Pop,55qBw1900pZKfXJ6Q9A2Lc,Teenage Dream,0.0132,0.719,227760,0.804,3.02E-06,10,0.139,-4.581,1,0.0355,119.999,4,0.605
We Found Love,Rihanna,Pop,14fmbvjYLqRZEXz1VZdM2M,We Found Love,0.0225,0.755,215760,0.74,0.00139,1,0.124,-4.951,1,0.0407,127.98,4,0.609
We Are Young (feat. Janelle Monáe),fun.,Pop,3ehrxAhYms24KLPG8FZe0W,We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,0.02,0.378,250627,0.638,7.66E-05,10,0.0849,-5.576,1,0.075,184.086,4,0.735
Call Me Maybe,Carly Rae Jepsen,Pop,5unfeZUhKhICP73CDYBW4N,Call Me Maybe,0.0126,0.778,193467,0.615,1.44E-06,7,0.108,-6.529,1,0.0384,120.045,4,0.648
Bright Lights,Ellie Goulding,Pop,2bRXehD283NioREYxlohc4,Lights - Single Version,0.0297,0.682,210853,0.795,0.0391,8,0.131,-6.17,0,0.0367,120.008,4,0.78
PRISM (Deluxe),Katy Perry,Pop,3bDGwl0X3EjQmIyFD1uif5,Roar,0.00635,0.56,223546,0.756,1.29E-05,7,0.55,-4.817,0,0.0415,179.771,4,0.404
The 20/20 Experience,Justin Timberlake,Pop,6dEnpbXyamib2EJnRhTt0G,Suit & Tie,0.103,0.795,326280,0.596,0,11,0.164,-3.799,0,0.219,101.985,4,0.357
Hands All Over,Maroon 5,Pop,7LcfRTgAVTs5pQGEQgUEzN,Moves Like Jagger - Studio Recording From The Voice Performance,0.0106,0.714,201160,0.748,0,11,0.325,-4.471,0,0.0546,128.03,4,0.586
Greatest Hits: My Prerogative,Britney Spears,Pop,6MPn82FDfOB2frXG2T4lR3,(You Drive Me) Crazy - The Stop Remix!,0.092,0.684,196667,0.963,6.27E-05,8,0.352,-2.397,1,0.0459,101.078,4,0.781
Locked Out Of Heaven,Bruno Mars,Pop,5PsMbxhgWpJMsouEfDTX6r,Locked Out Of Heaven,0.049,0.726,233478,0.698,0,5,0.309,-4.165,1,0.0431,143.994,4,0.867
We Can't Stop,Miley Cyrus,Pop,5ve0BYRZZ2aoHFqZMxqYgt,We Can't Stop,0.0083,0.607,232467,0.619,0,1,0.366,-5.761,0,0.038,79.998,4,0.5
The Heist,Macklemore & Ryan Lewis,Pop,3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us - feat. Ray Dalton,0.0291,0.641,258343,0.922,0,2,0.0862,-4.457,1,0.0786,146.078,4,0.847
Girl On Fire,Alicia Keys,Pop,6qOEjO2IUD7PjtpsXawq0d,Girl On Fire,0.135,0.482,224920,0.706,0.00106,9,0.105,-5.762,1,0.0609,92.494,4,0.144
Unorthodox Jukebox,Bruno Mars,Pop,55h7vJchibLdUkxdlX3fK7,Treasure,0.0412,0.874,178560,0.692,7.24E-05,5,0.324,-5.28,0,0.0431,116.017,4,0.937
Overexposed,Maroon 5,Pop,45kbpUIFmkS9Xla7hMXpzn,One More Night,0.0499,0.717,219467,0.819,0,5,0.0843,-3.435,0,0.032,92.988,4,0.619
Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,Pop,4lCv7b86sLynZbXhfScfm2,Firework,0.139,0.638,227880,0.826,0,8,0.0803,-4.968,1,0.0479,124.072,4,0.649
Summer,Calvin Harris,Pop,7b71WsDLb8gG0cSyDTFAEW,Summer,0.0215,0.603,224507,0.861,0.043,4,0.1,-3.565,0,0.0325,127.962,4,0.72
Come & Get It,Selena Gomez,Pop,7Gkphzdh5ouurEt7JT49Yu,Come & Get It,0.00946,0.523,231733,0.792,0.000108,7,0.0639,-4.125,0,0.0512,80.142,4,0.576
Born To Die - The Paradise Edition,Lana Del Rey,Pop,2dBwB667LHQkLhdYlwLUZK,Summertime Sadness,0.0701,0.565,265427,0.656,2.25E-06,1,0.123,-6.806,0,0.0329,111.977,4,0.23
All About That Bass,Meghan Trainor,Pop,0ifSeVGUr7py5GggttDhXw,All About That Bass,0.0476,0.811,188754,0.879,1.91E-06,9,0.109,-3.724,1,0.0514,134.064,4,0.962
Wild Ones (feat. Sia),Flo Rida,Pop,5Z7ygHQo02SUrFmcgpwsKW,Wild Ones (feat. Sia),0.101,0.624,233688,0.889,0,5,0.227,-3.772,0,0.0504,127.019,4,0.45
Can't Remember to Forget You,Shakira,Pop,0BBj0SW3vef8UNzTg4lwH9,Can't Remember to Forget You,0.132,0.697,207133,0.813,0,11,0.129,-3.399,0,0.0679,137.976,4,0.811
Rolling In The Deep,Adele,Pop,7h8Ud480Fm4ReUVxgFF9ZX,Rolling In The Deep,0.13,0.729,228293,0.777,0,8,0.0541,-5.112,1,0.0293,104.946,4,0.527
Breakaway,Kelly Clarkson,Pop,6Bo7elbKiRfaHBMJGEBHqF,Since U Been Gone,0.00175,0.664,188685,0.741,0.0379,9,0.116,-5.318,0,0.0328,131.001,4,0.372
